Task_ID,Employee_ID,Project_ID,Task,Time_Taken_Hours,Completion_Date
1218,155,1,Security Patching,6,2025-01-15
1219,179,1,Code Review,7,2025-03-06
1220,13,4,Bug Fixing,9,2025-01-15
1221,90,4,Feature Development,5,2025-03-24
1222,141,5,Feature Development,8,2025-01-14
1223,58,5,Design Review,7,2025-02-16
1224,3,4,Bug Fixing,7,2025-03-09
1225,27,1,Performance Testing,4,2025-03-20
1226,33,4,Security Patching,4,2025-01-08
1227,127,2,UI Enhancement,10,2025-02-06
1228,185,4,Code Review,2,2025-01-19
1229,58,4,Bug Fixing,2,2025-03-19
1230,39,3,Security Patching,7,2025-01-16
1231,170,2,UI Enhancement,5,2025-02-18
1232,50,1,Code Review,1,2025-01-30
1233,33,4,Bug Fixing,5,2025-03-27
1234,169,3,Database Optimization,12,2025-02-18
1235,13,1,Code Review,2,2025-02-03
1236,103,5,Security Patching,7,2025-02-04
1237,49,5,Design Review,4,2025-03-25
1238,36,2,Code Review,2,2025-02-12
1239,163,3,Meeting,10,2025-03-24
1240,56,4,Design Review,10,2025-03-04
1241,82,4,Feature Development,5,2025-01-18
1242,6,4,UI Enhancement,1,2025-03-21
1243,162,4,Bug Fixing,9,2025-01-11
1244,99,2,Database Optimization,4,2025-03-22
1245,167,2,Feature Development,4,2025-02-20
1246,28,2,Design Review,3,2025-02-28
1247,101,4,Testing,5,2025-03-03
1248,190,3,UI Enhancement,11,2025-02-28
1249,160,5,Security Patching,4,2025-01-04
1250,184,3,Testing,4,2025-02-07
1251,56,4,Testing,12,2025-01-17
1252,18,3,Feature Development,6,2025-01-10
1253,181,4,Bug Fixing,5,2025-01-21
1254,80,1,Database Optimization,12,2025-03-08
1255,64,4,Design Review,12,2025-02-06
1256,140,4,Performance Testing,6,2025-03-11
1257,197,3,UI Enhancement,9,2025-03-14
1258,167,1,Bug Fixing,7,2025-01-23
1259,27,5,Performance Testing,5,2025-03-02
1260,185,3,Security Patching,1,2025-01-29
1261,166,1,Meeting,9,2025-03-25
1262,191,4,Testing,4,2025-02-25
1263,169,1,Code Review,2,2025-03-23
1264,192,4,Performance Testing,5,2025-03-14
1265,9,1,Feature Development,6,2025-03-04
1266,168,4,Bug Fixing,9,2025-02-12
1267,116,1,Bug Fixing,4,2025-02-20
1268,121,2,Design Review,2,2025-02-08
1269,171,4,Performance Testing,4,2025-02-19
1270,184,5,Code Review,4,2025-02-17
1271,48,2,Performance Testing,10,2025-01-19
1272,54,5,UI Enhancement,8,2025-02-08
1273,6,5,Bug Fixing,9,2025-02-15
1274,105,1,UI Enhancement,4,2025-01-12
1275,74,4,Bug Fixing,9,2025-02-04
1276,136,3,UI Enhancement,7,2025-02-13
1277,53,5,Feature Development,8,2025-01-29
1278,67,3,UI Enhancement,4,2025-02-12
1279,144,3,Testing,6,2025-02-22
1280,35,3,Code Review,1,2025-01-11
1281,13,1,Meeting,2,2025-03-26
1282,142,4,Security Patching,11,2025-03-13
1283,21,4,Testing,7,2025-02-18
1284,179,2,Security Patching,10,2025-03-21
1285,178,3,Meeting,6,2025-03-22
1286,167,3,Meeting,11,2025-01-28
1287,175,4,Bug Fixing,9,2025-02-22
1288,167,1,Bug Fixing,5,2025-01-07
1289,101,1,UI Enhancement,5,2025-02-20
1290,78,3,Meeting,9,2025-01-16
1291,1,1,Meeting,10,2025-01-06
1292,4,4,Database Optimization,7,2025-02-10
1293,92,5,Bug Fixing,12,2025-01-24
1294,10,1,Feature Development,7,2025-01-29
1295,96,2,UI Enhancement,4,2025-01-01
1296,42,1,Design Review,2,2025-02-28
1297,139,4,Bug Fixing,6,2025-02-19
1298,71,3,Meeting,3,2025-02-08
1299,89,4,UI Enhancement,8,2025-02-14
1300,10,5,Feature Development,9,2025-02-24
1301,53,4,UI Enhancement,1,2025-03-23
1302,13,5,UI Enhancement,5,2025-02-10
1303,133,2,Feature Development,7,2025-03-01
1304,14,5,Testing,6,2025-02-26
1305,52,2,Bug Fixing,9,2025-03-26
1306,12,5,Performance Testing,2,2025-01-17
1307,29,1,UI Enhancement,8,2025-02-07
1308,189,5,Meeting,10,2025-02-19
1309,147,1,Database Optimization,2,2025-02-25
1310,91,1,Feature Development,11,2025-02-13
1311,179,3,Testing,4,2025-03-09
1312,165,2,Feature Development,11,2025-01-20
1313,178,2,Code Review,3,2025-02-23
1314,175,2,Security Patching,1,2025-01-05
1315,70,4,Feature Development,9,2025-03-22
1316,158,3,Meeting,11,2025-03-06
1317,99,3,Bug Fixing,10,2025-01-02
1318,86,3,Performance Testing,4,2025-02-23
1319,17,3,Bug Fixing,12,2025-01-23
1320,63,5,Testing,9,2025-03-22
1321,170,1,Database Optimization,7,2025-01-26
1322,90,5,Performance Testing,4,2025-01-05
1323,184,4,Testing,2,2025-01-06
1324,22,5,Performance Testing,3,2025-03-19
1325,13,1,Meeting,1,2025-03-06
1326,64,5,Code Review,10,2025-02-13
1327,156,4,Database Optimization,5,2025-01-23
1328,49,2,Code Review,11,2025-03-15
1329,124,2,Feature Development,6,2025-03-11
1330,140,2,Feature Development,3,2025-01-05
1331,102,4,Design Review,6,2025-03-08
1332,77,3,Design Review,2,2025-01-12
1333,81,2,Bug Fixing,6,2025-02-19
1334,162,1,Code Review,7,2025-03-28
1335,200,5,Meeting,9,2025-03-01
1336,167,5,Database Optimization,8,2025-01-14
1337,167,3,Database Optimization,10,2025-01-02
1338,43,2,Meeting,1,2025-01-11
1339,171,3,Security Patching,7,2025-02-24
1340,125,4,Security Patching,5,2025-02-20
1341,140,4,Code Review,9,2025-01-24
1342,34,5,Bug Fixing,7,2025-02-11
1343,152,4,Security Patching,12,2025-02-26
1344,136,5,Testing,8,2025-01-22
1345,41,3,Testing,5,2025-01-04
1346,200,5,Meeting,11,2025-01-09
1347,173,3,Design Review,9,2025-02-12
1348,3,2,Performance Testing,7,2025-03-03
1349,60,2,Meeting,11,2025-01-21
1350,12,2,UI Enhancement,8,2025-02-27
1351,137,1,UI Enhancement,5,2025-02-28
1352,45,1,Code Review,6,2025-02-20
1353,156,3,Performance Testing,12,2025-01-16
1354,189,5,Meeting,9,2025-02-07
1355,157,2,Database Optimization,10,2025-01-19
1356,66,5,Database Optimization,5,2025-01-28
1357,139,5,Database Optimization,3,2025-02-20
1358,44,5,Feature Development,12,2025-01-26
1359,196,2,Bug Fixing,1,2025-02-28
1360,153,3,Bug Fixing,10,2025-03-12
1361,196,4,Database Optimization,9,2025-03-14
1362,51,3,Code Review,7,2025-02-05
1363,60,4,Design Review,7,2025-01-31
1364,132,5,Feature Development,11,2025-01-04
1365,190,2,Security Patching,9,2025-02-05
1366,13,1,UI Enhancement,1,2025-01-27
1367,18,3,Meeting,5,2025-03-28
1368,156,1,Performance Testing,7,2025-02-03
1369,93,2,Code Review,12,2025-01-23
1370,1,3,Performance Testing,9,2025-02-13
1371,61,1,Meeting,2,2025-01-24
1372,56,5,Design Review,4,2025-02-12
1373,179,3,Bug Fixing,2,2025-02-07
1374,48,3,Meeting,10,2025-03-02
1375,63,4,Testing,8,2025-03-18
1376,138,4,Database Optimization,10,2025-01-12
1377,86,4,Design Review,3,2025-03-04
1378,147,5,UI Enhancement,9,2025-03-14
1379,122,1,Testing,3,2025-01-27
1380,138,4,UI Enhancement,7,2025-03-25
1381,104,1,Database Optimization,5,2025-02-17
1382,87,5,Performance Testing,11,2025-03-15
1383,155,4,UI Enhancement,11,2025-03-28
1384,121,3,UI Enhancement,8,2025-02-20
1385,72,2,Database Optimization,11,2025-01-29
1386,116,2,Performance Testing,2,2025-03-04
1387,68,2,Bug Fixing,4,2025-02-17
1388,110,5,Bug Fixing,5,2025-03-05
1389,34,2,Testing,12,2025-01-12
1390,139,2,Feature Development,12,2025-01-30
1391,176,5,Performance Testing,10,2025-02-04
1392,65,3,Security Patching,9,2025-01-19
1393,15,5,UI Enhancement,3,2025-01-08
1394,192,1,Performance Testing,4,2025-01-12
1395,61,2,Design Review,8,2025-03-25
1396,42,1,Bug Fixing,1,2025-01-21
1397,196,3,Bug Fixing,3,2025-02-01
1398,4,3,Meeting,1,2025-02-13
1399,24,4,Meeting,2,2025-02-08
1400,113,1,Security Patching,3,2025-02-23
1401,156,3,UI Enhancement,7,2025-02-15
1402,55,1,Database Optimization,2,2025-01-16
1403,137,4,Bug Fixing,3,2025-02-11
1404,103,5,Performance Testing,7,2025-01-21
1405,113,4,Security Patching,12,2025-03-21
1406,108,2,Security Patching,1,2025-03-07
1407,82,5,Meeting,5,2025-03-05
1408,134,3,Design Review,6,2025-02-23
1409,47,3,Bug Fixing,6,2025-01-15
1410,52,3,Database Optimization,11,2025-03-25
1411,77,3,Security Patching,3,2025-01-09
1412,191,2,Performance Testing,1,2025-01-10
1413,160,5,Security Patching,11,2025-02-26
1414,99,5,Database Optimization,2,2025-01-30
1415,184,1,Testing,7,2025-02-06
1416,33,3,Performance Testing,6,2025-01-19
1417,198,5,UI Enhancement,7,2025-01-28
1418,198,3,Security Patching,12,2025-01-03
1419,153,5,Feature Development,12,2025-02-09
1420,56,4,Security Patching,12,2025-01-12
1421,119,2,Database Optimization,10,2025-02-08
1422,147,4,Meeting,2,2025-03-22
1423,121,2,Database Optimization,1,2025-01-22
1424,16,5,Security Patching,3,2025-03-12
1425,135,5,Bug Fixing,7,2025-02-26
1426,103,1,Security Patching,9,2025-03-19
1427,157,2,Meeting,2,2025-01-08
1428,177,2,Performance Testing,4,2025-02-11
1429,58,1,Performance Testing,10,2025-01-01
1430,90,1,Design Review,12,2025-03-24
1431,86,3,Meeting,8,2025-03-18
1432,110,2,Testing,12,2025-03-12
1433,126,1,UI Enhancement,10,2025-02-12
1434,66,1,Meeting,8,2025-02-28
1435,112,5,Meeting,4,2025-02-13
1436,21,5,Code Review,9,2025-02-12
1437,105,1,Meeting,12,2025-01-04
1438,72,5,Database Optimization,8,2025-02-18
1439,22,2,Feature Development,11,2025-03-02
1440,100,4,Database Optimization,7,2025-03-19
1441,185,5,Meeting,8,2025-03-10
1442,99,3,Security Patching,1,2025-01-12
1443,27,1,Database Optimization,10,2025-01-12
1444,188,1,Database Optimization,10,2025-02-24
1445,19,3,Performance Testing,2,2025-03-25
1446,179,2,Database Optimization,9,2025-01-23
1447,141,5,Testing,10,2025-03-13
1448,182,5,Testing,9,2025-02-25
1449,183,1,Testing,5,2025-02-12
1450,179,3,UI Enhancement,2,2025-02-27
1451,150,5,Meeting,8,2025-02-17
1452,189,1,Bug Fixing,8,2025-03-26
1453,97,5,Testing,8,2025-02-05
1454,131,3,Database Optimization,10,2025-01-11
1455,169,3,Testing,11,2025-03-13
1456,12,5,Design Review,3,2025-03-07
1457,43,2,Testing,6,2025-03-02
1458,81,2,UI Enhancement,2,2025-01-12
1459,94,4,Code Review,6,2025-03-20
1460,177,3,Code Review,8,2025-03-25
1461,83,2,Code Review,12,2025-02-24
1462,120,3,Security Patching,8,2025-02-25
1463,48,3,Database Optimization,3,2025-01-30
1464,194,2,Code Review,3,2025-02-16
1465,125,2,Meeting,5,2025-01-04
1466,142,1,Meeting,1,2025-02-26
1467,103,2,Testing,9,2025-02-03
1468,127,1,Design Review,5,2025-03-16
1469,146,4,Bug Fixing,9,2025-02-06
1470,83,4,Feature Development,2,2025-03-17
1471,168,5,Feature Development,5,2025-01-09
1472,55,1,Security Patching,10,2025-01-04
1473,20,1,Bug Fixing,12,2025-02-07
1474,97,3,Bug Fixing,8,2025-03-28
1475,170,4,Code Review,2,2025-01-30
1476,66,4,Testing,5,2025-02-06
1477,168,2,Bug Fixing,12,2025-02-10
1478,111,4,Testing,3,2025-01-12
1479,53,4,Meeting,9,2025-02-16
1480,60,2,Design Review,8,2025-01-06
1481,172,3,Design Review,12,2025-03-07
1482,195,5,Bug Fixing,1,2025-03-23
1483,131,1,Feature Development,3,2025-03-06
1484,153,3,Performance Testing,2,2025-02-14
1485,197,4,Database Optimization,3,2025-03-16
1486,102,2,Bug Fixing,1,2025-03-17
1487,74,5,Design Review,2,2025-03-11
1488,176,2,Performance Testing,8,2025-01-31
1489,124,4,Meeting,5,2025-03-12
1490,133,2,UI Enhancement,5,2025-02-07
1491,27,2,UI Enhancement,7,2025-03-03
1492,11,2,Meeting,3,2025-03-03
1493,89,3,Bug Fixing,5,2025-02-04
1494,53,5,Security Patching,12,2025-01-19
1495,36,1,Database Optimization,9,2025-02-05
1496,183,4,Meeting,12,2025-02-09
1497,91,3,Meeting,8,2025-01-14
1498,126,3,UI Enhancement,8,2025-02-07
1499,131,3,Database Optimization,6,2025-02-03
1500,69,3,Design Review,10,2025-01-05
1501,90,1,Code Review,5,2025-02-06
1502,184,3,Database Optimization,10,2025-01-28
1503,73,3,Performance Testing,2,2025-02-21
1504,23,3,Design Review,11,2025-02-21
1505,29,4,UI Enhancement,5,2025-01-18
1506,157,4,Security Patching,1,2025-01-15
1507,23,4,Testing,5,2025-03-07
1508,74,4,UI Enhancement,4,2025-01-01
1509,137,3,Code Review,12,2025-03-13
1510,166,2,Meeting,9,2025-03-21
1511,166,4,Feature Development,12,2025-01-21
1512,16,4,Performance Testing,8,2025-01-01
1513,28,2,Code Review,9,2025-02-19
1514,135,5,Testing,5,2025-02-16
1515,166,1,Database Optimization,12,2025-02-16
1516,121,4,Feature Development,9,2025-03-11
1517,103,4,UI Enhancement,7,2025-03-16
1518,188,5,Bug Fixing,10,2025-01-21
1519,66,1,Performance Testing,2,2025-03-10
1520,140,2,Meeting,6,2025-03-12
1521,122,5,Security Patching,2,2025-03-24
1522,122,2,Testing,2,2025-03-03
1523,175,4,Performance Testing,11,2025-02-21
1524,68,5,Design Review,11,2025-03-09
1525,154,5,Bug Fixing,2,2025-02-24
1526,97,3,Testing,4,2025-02-11
1527,80,2,Performance Testing,2,2025-02-25
1528,75,2,Database Optimization,6,2025-02-25
1529,10,1,Design Review,1,2025-01-06
1530,189,5,Bug Fixing,8,2025-01-06
1531,147,5,Security Patching,6,2025-01-29
1532,130,5,UI Enhancement,9,2025-01-11
1533,85,5,Performance Testing,3,2025-01-19
1534,60,4,Code Review,8,2025-02-08
1535,153,4,Code Review,7,2025-02-18
1536,31,4,UI Enhancement,3,2025-02-09
1537,41,1,Code Review,7,2025-03-18
1538,22,2,Feature Development,12,2025-03-01
1539,122,3,Design Review,4,2025-01-01
1540,80,4,Code Review,10,2025-03-22
1541,58,1,Code Review,10,2025-03-25
1542,26,2,Design Review,9,2025-01-13
1543,36,5,Code Review,9,2025-01-04
1544,86,5,Testing,11,2025-02-14
1545,179,3,Database Optimization,2,2025-02-28
1546,61,1,Testing,4,2025-02-06
1547,45,3,Code Review,12,2025-02-21
1548,172,2,Bug Fixing,1,2025-02-16
1549,18,3,Bug Fixing,1,2025-02-06
1550,69,1,UI Enhancement,1,2025-01-23
1551,117,1,Design Review,5,2025-03-17
1552,109,3,Testing,6,2025-03-10
1553,140,4,Meeting,7,2025-02-17
1554,190,2,Database Optimization,5,2025-03-22
1555,144,1,Security Patching,10,2025-02-27
1556,72,1,UI Enhancement,4,2025-01-04
1557,117,2,Feature Development,6,2025-02-25
1558,126,1,Meeting,12,2025-01-12
1559,98,1,UI Enhancement,9,2025-01-02
1560,141,5,Performance Testing,12,2025-03-26
1561,130,1,Performance Testing,5,2025-02-24
1562,143,2,Meeting,6,2025-01-02
1563,138,4,Performance Testing,1,2025-02-19
1564,172,4,Security Patching,7,2025-03-07
1565,122,5,UI Enhancement,12,2025-03-28
1566,175,5,Design Review,8,2025-02-23
1567,165,4,Security Patching,7,2025-02-13
1568,7,4,Code Review,7,2025-01-25
1569,13,1,Design Review,1,2025-01-08
1570,128,4,Testing,8,2025-01-08
1571,81,1,UI Enhancement,4,2025-02-20
1572,42,5,Performance Testing,6,2025-01-06
1573,13,2,Testing,11,2025-01-29
1574,139,2,Design Review,6,2025-01-28
1575,92,2,Code Review,11,2025-02-23
1576,124,3,Bug Fixing,2,2025-03-07
1577,116,2,Security Patching,3,2025-01-11
1578,25,2,Design Review,6,2025-02-28
1579,196,5,Design Review,5,2025-02-08
1580,71,1,Meeting,6,2025-03-07
1581,167,2,Performance Testing,8,2025-02-17
1582,81,3,Performance Testing,12,2025-02-27
1583,56,1,Testing,9,2025-01-25
1584,2,2,Database Optimization,1,2025-02-17
1585,136,4,Design Review,3,2025-01-27
1586,86,2,Testing,9,2025-01-17
1587,180,3,Meeting,4,2025-03-28
1588,141,2,Meeting,3,2025-01-29
1589,113,1,Testing,6,2025-01-12
1590,164,2,Code Review,12,2025-01-26
1591,111,2,Testing,1,2025-02-23
1592,43,4,Feature Development,5,2025-01-20
1593,128,3,Design Review,1,2025-01-04
1594,33,5,UI Enhancement,11,2025-03-09
1595,111,2,UI Enhancement,2,2025-03-21
1596,118,1,Meeting,3,2025-03-27
1597,177,1,Database Optimization,7,2025-03-20
1598,86,1,UI Enhancement,2,2025-01-29
1599,110,3,Code Review,8,2025-01-19
1600,199,1,Code Review,5,2025-02-18
1601,110,5,UI Enhancement,6,2025-02-18
1602,35,4,Performance Testing,10,2025-01-17
1603,77,1,Code Review,12,2025-03-11
1604,152,5,Security Patching,11,2025-02-15
1605,146,3,Meeting,11,2025-03-28
1606,167,2,Feature Development,2,2025-01-05
1607,50,4,Performance Testing,4,2025-03-01
1608,198,2,UI Enhancement,4,2025-01-12
1609,107,5,Bug Fixing,9,2025-01-25
1610,96,5,Security Patching,5,2025-03-12
1611,56,1,Security Patching,1,2025-03-04
1612,96,2,Design Review,9,2025-02-22
1613,54,3,Bug Fixing,3,2025-01-23
1614,59,5,UI Enhancement,11,2025-01-08
1615,150,1,UI Enhancement,8,2025-01-30
1616,107,2,Testing,6,2025-03-28
1617,108,3,UI Enhancement,6,2025-02-16
1618,120,5,Design Review,11,2025-01-19
1619,187,5,Security Patching,7,2025-01-02
1620,59,3,Code Review,8,2025-03-09
1621,115,2,Testing,10,2025-01-28
1622,18,3,Database Optimization,8,2025-02-26
1623,186,4,Code Review,11,2025-01-31
1624,28,1,Meeting,12,2025-03-07
1625,46,4,Database Optimization,9,2025-03-11
1626,38,1,Feature Development,7,2025-03-26
1627,142,2,Feature Development,4,2025-02-04
1628,64,4,Code Review,6,2025-03-27
1629,75,1,Meeting,5,2025-01-30
1630,7,5,Security Patching,9,2025-03-24
1631,26,3,Bug Fixing,3,2025-03-13
1632,33,1,Feature Development,11,2025-03-19
1633,94,1,UI Enhancement,9,2025-01-13
1634,58,2,Performance Testing,8,2025-01-10
1635,104,1,Code Review,1,2025-02-18
1636,142,5,Meeting,8,2025-03-04
1637,131,4,Testing,7,2025-02-10
1638,59,1,Design Review,6,2025-01-05
1639,37,4,Meeting,7,2025-01-06
1640,63,4,Feature Development,6,2025-02-28
1641,134,3,Bug Fixing,1,2025-03-16
1642,21,2,UI Enhancement,11,2025-03-05
1643,6,2,Database Optimization,11,2025-01-13
1644,6,1,Bug Fixing,2,2025-02-16
1645,32,1,Design Review,10,2025-01-28
1646,150,4,Database Optimization,4,2025-01-27
1647,147,4,Database Optimization,7,2025-03-03
1648,107,2,Performance Testing,11,2025-02-24
1649,188,3,Code Review,10,2025-02-12
1650,44,4,Design Review,11,2025-01-04
1651,39,4,UI Enhancement,11,2025-03-08
1652,12,1,Bug Fixing,5,2025-01-01
1653,66,4,Code Review,11,2025-03-19
1654,61,3,Testing,11,2025-03-28
1655,24,4,Performance Testing,4,2025-03-01
1656,131,1,Design Review,1,2025-01-07
1657,51,3,Bug Fixing,7,2025-01-14
1658,14,1,Database Optimization,7,2025-02-22
1659,39,2,Testing,1,2025-02-11
1660,5,1,Feature Development,7,2025-01-10
1661,153,4,Performance Testing,2,2025-03-23
1662,164,1,Testing,4,2025-02-21
1663,29,4,Testing,7,2025-03-21
1664,144,4,Design Review,12,2025-02-01
1665,101,3,Feature Development,3,2025-03-06
1666,51,2,Testing,8,2025-02-22
1667,123,3,Database Optimization,1,2025-01-03
1668,51,1,Testing,8,2025-02-04
1669,182,4,Code Review,6,2025-01-23
1670,56,4,Testing,12,2025-01-28
1671,190,4,Design Review,12,2025-02-03
1672,188,4,Performance Testing,7,2025-02-19
1673,119,1,Performance Testing,4,2025-03-07
1674,76,5,Testing,5,2025-01-22
1675,167,1,Feature Development,7,2025-03-21
1676,99,1,Bug Fixing,8,2025-03-24
1677,194,4,Performance Testing,10,2025-01-08
1678,17,5,Feature Development,5,2025-02-28
1679,129,3,Code Review,2,2025-03-05
1680,88,2,UI Enhancement,11,2025-01-23
1681,32,1,Meeting,7,2025-02-09
1682,197,4,Code Review,9,2025-01-14
1683,49,1,Security Patching,8,2025-03-20
1684,173,1,Design Review,3,2025-01-01
1685,101,2,Design Review,5,2025-01-07
1686,117,4,Design Review,8,2025-02-14
1687,13,2,Performance Testing,1,2025-03-22
1688,70,4,Security Patching,2,2025-01-17
1689,38,1,UI Enhancement,2,2025-03-22
1690,127,4,Code Review,2,2025-03-16
1691,67,1,Security Patching,7,2025-01-14
1692,18,4,Feature Development,11,2025-01-19
1693,89,1,Feature Development,3,2025-01-24
1694,149,4,Security Patching,8,2025-01-15
1695,47,5,UI Enhancement,9,2025-02-06
1696,49,2,Security Patching,2,2025-03-13
1697,117,3,UI Enhancement,7,2025-01-29
1698,157,3,Bug Fixing,1,2025-02-12
1699,86,3,Bug Fixing,12,2025-03-27
1700,94,3,Meeting,10,2025-03-28
1701,18,5,Design Review,9,2025-01-15
1702,112,1,Meeting,6,2025-01-02
1703,13,3,UI Enhancement,2,2025-01-11
1704,12,1,Bug Fixing,7,2025-03-11
1705,85,4,Performance Testing,1,2025-02-13
1706,23,5,Performance Testing,12,2025-01-04
1707,6,3,Security Patching,8,2025-01-16
1708,43,1,Bug Fixing,12,2025-03-08
1709,27,3,UI Enhancement,11,2025-02-04
1710,29,2,Feature Development,12,2025-03-21
1711,8,1,Testing,1,2025-02-22
1712,80,5,Meeting,9,2025-01-25
1713,161,2,Feature Development,3,2025-03-11
1714,171,3,Performance Testing,8,2025-02-03
1715,9,5,Bug Fixing,4,2025-02-19
1716,54,1,Design Review,1,2025-02-19
1717,58,4,Feature Development,12,2025-03-02
1718,3,5,Code Review,12,2025-01-24
1719,20,2,Design Review,7,2025-02-24
1720,36,1,UI Enhancement,10,2025-02-10
1721,21,3,Performance Testing,8,2025-03-24
1722,71,4,Design Review,6,2025-02-01
1723,122,3,Feature Development,10,2025-02-24
1724,65,3,Performance Testing,10,2025-01-31
1725,37,4,Feature Development,4,2025-02-21
1726,55,3,Feature Development,12,2025-03-13
1727,64,2,Database Optimization,11,2025-01-29
1728,104,5,Code Review,11,2025-03-06
1729,74,2,Database Optimization,4,2025-01-15
1730,8,3,Feature Development,2,2025-02-03
1731,31,4,Performance Testing,3,2025-02-01
1732,191,3,UI Enhancement,7,2025-03-08
1733,161,5,Security Patching,6,2025-01-02
1734,168,2,Code Review,8,2025-02-08
1735,89,2,Design Review,4,2025-03-01
1736,68,1,Testing,10,2025-02-11
1737,28,2,Bug Fixing,3,2025-02-16
1738,121,5,Code Review,1,2025-03-26
1739,87,5,Performance Testing,7,2025-01-26
1740,34,3,Testing,10,2025-03-23
1741,16,3,UI Enhancement,8,2025-02-04
1742,183,3,Design Review,6,2025-01-01
1743,196,2,Database Optimization,11,2025-01-18
1744,50,4,Meeting,7,2025-02-28
1745,62,2,Code Review,7,2025-01-08
1746,93,1,Meeting,2,2025-02-10
1747,121,5,Meeting,8,2025-02-09
1748,31,4,Code Review,3,2025-01-10
1749,14,5,Design Review,5,2025-01-09
1750,139,3,Design Review,10,2025-02-25
1751,139,3,UI Enhancement,5,2025-01-02
1752,21,5,Bug Fixing,9,2025-03-05
1753,123,4,UI Enhancement,6,2025-01-22
1754,121,2,Meeting,10,2025-03-27
1755,121,2,Security Patching,2,2025-02-04
1756,92,1,Testing,7,2025-02-02
1757,161,4,Meeting,9,2025-01-05
1758,97,2,UI Enhancement,9,2025-03-02
1759,154,4,Database Optimization,5,2025-01-21
1760,101,5,Testing,5,2025-01-11
1761,178,3,Bug Fixing,12,2025-02-09
1762,191,2,Meeting,3,2025-02-08
1763,109,1,Security Patching,1,2025-03-12
1764,59,1,Design Review,10,2025-02-19
1765,95,3,Testing,1,2025-02-04
1766,189,4,UI Enhancement,1,2025-01-26
1767,192,3,Meeting,8,2025-01-01
1768,51,5,Feature Development,2,2025-03-02
1769,54,5,Meeting,12,2025-02-09
1770,138,2,Database Optimization,6,2025-01-01
1771,23,5,UI Enhancement,12,2025-02-08
1772,162,4,Feature Development,3,2025-01-24
1773,55,3,Security Patching,3,2025-02-21
1774,7,4,Feature Development,9,2025-03-26
1775,18,3,Feature Development,7,2025-03-04
1776,117,4,Feature Development,7,2025-01-30
1777,29,5,Database Optimization,3,2025-03-01
1778,140,3,Testing,5,2025-03-25
1779,137,1,Design Review,11,2025-01-27
1780,38,3,Feature Development,12,2025-01-28
1781,96,4,Meeting,10,2025-03-03
1782,181,2,Testing,10,2025-01-23
1783,66,2,Performance Testing,4,2025-02-21
1784,61,1,Testing,5,2025-03-18
1785,124,4,Feature Development,12,2025-02-11
1786,146,1,Security Patching,9,2025-02-23
1787,191,5,Design Review,8,2025-01-30
1788,45,1,Feature Development,1,2025-02-23
1789,86,5,Code Review,4,2025-03-19
1790,42,5,Database Optimization,1,2025-01-02
1791,107,1,Testing,2,2025-01-02
1792,83,3,Bug Fixing,10,2025-01-18
1793,134,4,Testing,9,2025-01-14
1794,53,3,Meeting,6,2025-01-18
1795,7,3,Meeting,4,2025-03-08
1796,63,3,Bug Fixing,12,2025-01-07
1797,127,4,Feature Development,7,2025-01-09
1798,38,1,Meeting,4,2025-01-30
1799,93,2,Database Optimization,1,2025-03-26
1800,104,5,Code Review,3,2025-02-17
1801,152,4,Performance Testing,1,2025-03-23
1802,76,2,Code Review,3,2025-02-09
1803,190,2,Performance Testing,2,2025-03-15
1804,1,4,Bug Fixing,10,2025-01-01
1805,131,1,Code Review,5,2025-02-07
1806,120,2,Bug Fixing,12,2025-02-09
1807,180,4,Testing,11,2025-02-03
1808,49,3,Security Patching,3,2025-03-12
1809,30,5,Meeting,2,2025-01-09
1810,159,4,Testing,4,2025-02-21
1811,4,4,Database Optimization,1,2025-01-13
1812,160,2,Code Review,5,2025-03-19
1813,174,5,Performance Testing,10,2025-03-16
1814,119,2,UI Enhancement,3,2025-03-17
1815,81,3,Meeting,8,2025-02-13
1816,116,2,UI Enhancement,12,2025-01-20
1817,177,4,Bug Fixing,7,2025-02-17
1818,144,2,Performance Testing,3,2025-02-14
1819,21,5,UI Enhancement,9,2025-02-12
1820,24,5,Design Review,11,2025-02-18
1821,69,5,Code Review,3,2025-02-15
1822,86,3,Code Review,11,2025-01-03
1823,113,5,Code Review,6,2025-03-26
1824,113,5,Feature Development,7,2025-03-21
1825,159,4,Feature Development,4,2025-01-12
1826,167,3,Design Review,1,2025-03-14
1827,166,2,Design Review,8,2025-01-30
1828,38,4,Feature Development,9,2025-01-20
1829,13,1,UI Enhancement,3,2025-02-09
1830,114,2,Database Optimization,8,2025-01-09
1831,159,3,Design Review,2,2025-01-29
1832,5,3,Bug Fixing,6,2025-02-21
1833,65,3,Testing,7,2025-03-07
1834,138,5,Performance Testing,6,2025-02-05
1835,22,2,Meeting,3,2025-02-13
1836,68,3,UI Enhancement,1,2025-02-23
1837,26,2,Bug Fixing,10,2025-03-19
1838,161,1,Code Review,8,2025-03-20
1839,170,2,Testing,5,2025-02-28
1840,199,2,Bug Fixing,4,2025-03-20
1841,106,4,Performance Testing,11,2025-03-12
1842,38,1,Security Patching,9,2025-02-15
1843,14,1,UI Enhancement,3,2025-03-13
1844,113,4,Bug Fixing,12,2025-01-15
1845,19,2,Bug Fixing,6,2025-01-04
1846,69,5,UI Enhancement,3,2025-01-31
1847,156,2,Code Review,2,2025-03-22
